stop_lat,stop_lon,boardings,alightings,TotalOnOff,TotalOnOff_Half
40.289011,-111.72431200000001,6.207999999999999,5.983,12.190999999999999,6.0954999999999995
40.289403,-111.691722,48.596000000000004,6.095,54.691,27.3455
40.289821,-111.72824399999999,10.844000000000001,0.0,10.844000000000001,5.422000000000001
40.290187,-111.691873,29.152,0.0,29.152,14.576
40.292689,-111.693247,34.731,0.0,34.731,17.3655
40.295471,-111.69410400000001,1.771,65.281,67.052,33.526
40.296321,-111.723674,32.065,0.0,32.065,16.0325
40.296846,-111.676125,2.955,0.0,2.955,1.4775
40.297364,-111.67639799999999,42.46,2.955,45.415,22.7075
40.298061,-111.695209,98.667,25.189,123.856,61.928
40.299145,-111.696076,7.251,16.791,24.042,12.021
40.299191,-111.662926,12.696,0.0,12.696,6.348
40.299482,-111.724402,32.065,0.0,32.065,16.0325
40.301165999999995,-111.696595,19.354,58.114000000000004,77.468,38.734
40.302761,-111.66271299999998,33.648,17.422,51.07000000000001,25.535000000000004
40.303699,-111.698101,34.731,20.214999999999996,54.946,27.473
40.304185,-111.676703,10.762,0.0,10.762,5.381
40.305165,-111.69843200000001,55.529,13.642999999999999,69.172,34.586
40.305824,-111.698935,33.074,0.0,33.074,16.537
40.307745000000004,-111.67654499999999,10.74,2.3,13.04,6.52
40.310958,-111.701213,21.803,0.0,21.803,10.9015
40.312446,-111.67658700000001,10.74,0.0,10.74,5.37
40.313278000000004,-111.70188799999998,8.107999999999999,53.817,61.925,30.9625
40.313882,-111.719691,57.147999999999996,41.821999999999996,98.97,49.485
40.315717,-111.703344,6.095,0.0,6.095,3.0475
40.317158,-111.70359099999999,8.107999999999999,19.596,27.704,13.852
40.319321,-111.72465700000001,38.129,0.0,38.129,19.0645
40.319878,-111.70479399999999,21.070999999999998,12.36,33.431,16.7155
40.322927,-111.68051899999999,3.0469999999999997,9.985,13.032,6.516
40.323253,-111.680681,71.229,0.0,71.229,35.6145
40.323299,-111.72474199999999,9.985,0.0,9.985,4.9925
40.325183,-111.707504,38.716,0.0,38.716,19.358
40.325778,-111.72497800000001,70.4,0.0,70.4,35.2
40.326461,-111.720918,33.59,0.0,33.59,16.795
40.326546,-111.685804,2.955,0.0,2.955,1.4775
40.326547999999995,-111.698605,10.762,0.0,10.762,5.381
40.326615999999994,-111.70916799999999,25.083000000000002,8.507,33.59,16.795
40.326648,-111.703291,10.49,0.0,10.49,5.245
40.326703,-111.698012,10.74,0.0,10.74,5.37
40.326705,-111.687322,10.49,2.3,12.79,6.395
40.327121000000005,-111.708004,37.525999999999996,0.0,37.525999999999996,18.762999999999998
40.330379,-111.71087800000001,18.581,22.237,40.818,20.409
40.332719,-111.712453,8.107999999999999,11.213,19.320999999999998,9.660499999999999
40.333298,-111.713371,6.095,49.173,55.268,27.634
40.335499,-111.71516100000001,6.095,0.0,6.095,3.0475
40.335535,-111.714771,17.015,13.04,30.055,15.0275
40.345082,-111.72331499999999,8.107999999999999,0.0,8.107999999999999,4.053999999999999
40.351546,-111.73143200000001,12.706,22.237,34.943,17.4715
40.358649,-111.98050400000001,36.379999999999995,0.0,36.379999999999995,18.189999999999998
40.361893,-111.74066599999999,21.070999999999998,11.213,32.284,16.142
40.364053999999996,-111.742529,32.088,22.237,54.325,27.1625
40.364083,-111.741552,8.107999999999999,0.0,8.107999999999999,4.053999999999999
40.364424,-111.74411200000002,24.676,0.0,24.676,12.338
