stop_lat,stop_lon,alightings
40.620694,-111.889765,1.598
40.620894,-111.884592,7.625
40.62202,-111.938622,7.166
40.62238,-112.01276100000001,0.24600000000000002
40.622461,-111.978893,4.288
40.623062,-111.863079,8.953
40.623158000000004,-111.938973,16.855999999999998
40.623315999999996,-111.834423,18.261
40.623902,-111.82324799999999,4.629
40.623934999999996,-111.937751,2.8739999999999997
40.624046,-111.81617800000001,16.892
40.624064000000004,-111.82356899999999,8.446
40.624124,-111.833514,20.348
40.624154,-111.81403,5.584
40.624394,-111.835167,3.2680000000000002
40.624423,-111.97774199999999,5.612
40.624551000000004,-111.807631,11.879000000000001
40.6246,-111.89036599999999,5.382000000000001
40.624662,-111.938601,7.166
40.625768,-111.938955,11.712
40.626082000000004,-111.88994199999999,4.524
40.626171,-111.89017,2.248
40.626488,-112.01794699999999,20.22
40.626942,-111.854874,13.944
40.627663,-111.834101,35.591
40.627718,-111.88976299999999,8.865
40.627756,-111.854863,5.584
40.628494,-111.89003100000001,2.049
40.628599,-111.97778100000001,5.612
40.62992,-111.889908,22.498
40.631129,-111.96727800000001,2.886
40.631384000000004,-111.824807,4.629
40.63169,-111.86678500000001,7.5889999999999995
40.631739,-111.979644,21.038
40.632152000000005,-111.87316799999999,15.817
40.632168,-112.007403,2.061
40.632236999999996,-111.80866599999999,9.449
40.632338,-111.85481999999999,5.891
40.632602,-111.87934299999999,11.061
40.632785999999996,-111.88156799999999,18.883
40.632946000000004,-111.886353,6.731
40.633010999999996,-111.80657099999999,10.667
40.633037,-111.810507,12.158000000000001
40.63308,-111.885003,82.445
40.63342,-111.89040800000001,11.128
40.633602,-111.89818600000001,26.87
40.634202,-111.85479099999999,6.182
40.634454999999996,-111.938943,11.262
40.634809999999995,-111.88914399999999,11.048
40.635104,-111.95794199999999,2.061
40.635731,-111.88941799999999,2.6910000000000003
40.635923,-111.834425,23.029
40.636076,-111.86609399999999,15.817
40.636249,-111.889072,4.404
40.636311,-112.02387900000001,17.64
40.636433000000004,-111.854759,5.891
40.636463,-112.00673300000001,5.1080000000000005
40.636873,-111.824821,4.629
40.637361999999996,-111.978293,11.252
40.637588,-111.834451,14.155
40.637692,-112.005721,15.453
40.637997999999996,-111.938966,48.253
40.638011,-111.936631,6.361000000000001
40.638453999999996,-112.02701100000002,52.370999999999995
